"Mesorhizobium_albiziae_DSM_21822__F3H98_RS27475__NZ_FOSL01000033__10955"	"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32100__NZ_CP015322__24410"	"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29650__NZ_QMBQ01000012__26886"	"Mesorhizobium_australicum_WSM2073__MESAU_RS28520__NC_019973__36537"	"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS19690__NZ_JAAKZF010000030__40400"	"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS09910__NZ_JHQT01000033__46487"	"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS42220__NZ_FZQR01000114__55142"	"Mesorhizobium_ciceri_ca181__M1C_RS30380__NZ_CM002796__68290"	"Mesorhizobium_ciceri_CC1192__A4R28_RS21935__NZ_CP015062__72955"	"Mesorhizobium_ciceri_WSM1271__MESCI_RS29075__NC_014923__80840"	"Mesorhizobium_ciceri_WSM1284__A4R29_RS04685__NZ_CP015064__82352"	"Mesorhizobium_delmotii_STM_462__BQ8482_RS29735__NZ_FUIG01000049__97876"	"Mesorhizobium_erdmanii_NZP2014__EB233_RS30305__NZ_CP033361__114892"	"Mesorhizobium_hawassense_AC99b__DPM33_RS33725__NZ_QMBP01000030__119439"	"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31980__NZ_PZJX01000070__128153"	"Mesorhizobium_huakuii_583__HB778_RS39830__NZ_CP050299__135214"	"Mesorhizobium_huakuii_7653R__MCHK_RS32325__NZ_CP006583__141923"	"Mesorhizobium_intechi_BD68__C1D09_RS23885__NZ_PNOT02000271__151277"	"Mesorhizobium_intechi_BD68__C1D09_RS09195__NZ_PNOT02000101__153721"	"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS24195__NC_002678__158812"	"Mesorhizobium_japonicum_R7A__R7A2020_RS30335__NZ_CP051772__167293"	"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS32785__NZ_CP033507__173901"	"Mesorhizobium_kowhaii_Ach-343__B5V02_RS18525__NZ_MZXV01000038__178241"	"Mesorhizobium_kowhaii_Ach-343__B5V02_RS02225__NZ_MZXV01000011__178795"	"Mesorhizobium_loti_582__HB777_RS39510__NZ_CP050295__188870"	"Mesorhizobium_loti_NZP2037__A9174_RS32465__NZ_CP016079__201651"	"Mesorhizobium_loti_NZP2042__EB815_RS32255__NZ_CP033334__208570"	"Mesorhizobium_loti_R88b__EB235_RS33340__NZ_CP033367__215289"	"Mesorhizobium_loti_SU343__EFV37_RS32790__NZ_CP033368__221900"	"Mesorhizobium_loti_TONO__MLTONO_RS26530__NZ_AP017605__227507"	"Mesorhizobium_metallidurans_STM_2683__MESS2_RS28730__NZ_CAUM01000170__230457"	"Mesorhizobium_muleiense_CGMCC_1.11022__BLT09_RS28285__NZ_FNEE01000025__241217"	"Mesorhizobium_norvegicum_10.2.2__FCU66_RS30665__NZ_SMYZ01000081__249236"	"Mesorhizobium_opportunistum_WSM2075__MESOP_RS31495__NC_015675__261273"	"Mesorhizobium_prunaredense_1__BQ8794_RS15150__NZ_FTPD01000017__262646"	"Mesorhizobium_qingshengii_CGMCC_1.12097__BLS48_RS33615__NZ_FMXM01000054__274076"	"Mesorhizobium_sangaii_DSM_100039__HNQ71_RS32320__NZ_JACHEF010000011__280902"	"Mesorhizobium_sanjuanii_BSA136__CN311_RS02500__NZ_NWQG01000012__281755"	"Mesorhizobium_silamurunense_CCBAU_45272__AU465_RS03060__NZ_LPVS01000012__293973"	"Mesorhizobium_sophorae_ICMP_19535__CGZ66_RS30965__NZ_NNRI01000021__308437"	"Mesorhizobium_sp_113-1-2__JN279_RS36965__NZ_AP023242__319614"	"Mesorhizobium_sp_113-3-3__JG746_RS32685__NZ_AP023243__326190"	"Mesorhizobium_sp_113-3-9__MesoLj_RS34800__NZ_AP023246__333799"	"Mesorhizobium_sp_131-2-1__JG743_RS31530__NZ_AP023247__340186"	"Mesorhizobium_sp_131-2-5__JG740_RS32795__NZ_AP023249__347049"	"Mesorhizobium_sp_131-3-5__JG747_RS33600__NZ_AP023255__354692"	"Mesorhizobium_sp_AA22__A9K68_RS29085__NZ_CP048406__365358"	"Mesorhizobium_sp_AR02__DBIPINDM_007272__contig_2__365814"	"Mesorhizobium_sp_AR07__BPNPMPFG_007256__contig_2__381194"	"Mesorhizobium_sp_AR10__LHFGNBLO_006546__contig_2__382127"	"Mesorhizobium_sp_J8__MJ8_RS06970__NZ_AP024109__400908"	"Mesorhizobium_sp_L-2-11__JG739_RS30395__NZ_AP023257__411629"	"Mesorhizobium_sp_L-8-10__JN280_RS34695__NZ_AP023263__419198"	"Mesorhizobium_sp_L-8-3__JN302_RS34015__NZ_AP023262__426632"	"Mesorhizobium_sp_M1A.F.Ca.IN.022.06.1.1__EJ078_RS10035__NZ_CP034455__429485"	"Mesorhizobium_sp_M1B.F.Ca.ET.045.04.1.1__EJ071_RS06790__NZ_CP034448__434556"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS11045__NZ_CP034444__442557"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS18915__NZ_CP034444__444065"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS00025__NZ_CP034447__447017"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS02175__NZ_CP034447__447366"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.02.1.1__EJ068_RS12970__NZ_CP034445__456295"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.05.1.1__EJ069_RS26870__NZ_CP034446__465206"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS06665__NZ_CP034449__467479"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS16865__NZ_CP034449__469418"	"Mesorhizobium_sp_M3A.F.Ca.ET.080.04.2.1__EJ074_RS18255__NZ_CP034451__476484"	"Mesorhizobium_sp_M4B.F.Ca.ET.058.02.1.1__EJ073_RS22415__NZ_CP034450__482857"	"Mesorhizobium_sp_M6A.T.Cr.TU.016.01.1.1__EJ075_RS16115__NZ_CP034452__487596"	"Mesorhizobium_sp_M7A.F.Ce.TU.012.03.2.1__EJ079_RS09905__NZ_CP034779__492681"	"Mesorhizobium_sp_M7D.F.Ca.US.005.01.1.1__EJ076_RS01915__NZ_CP034453__497447"	"Mesorhizobium_sp_M8A.F.Ca.ET.057.01.1.1__EJ077_RS01155__NZ_CP034454__504049"	"Mesorhizobium_sp_M9A.F.Ca.ET.002.03.1.2__EJ066_RS12225__NZ_CP034443__512064"	"Mesorhizobium_sp_NZP2077__HGP13_RS34670__NZ_CP051293__526092"	"Mesorhizobium_sp_NZP2234__EB230_RS31375__NZ_CP033364__532748"	"Mesorhizobium_sp_NZP2298__EB231_RS32995__NZ_CP033365__539382"	"Mesorhizobium_sp_WSM1497__A9K65_RS31405__NZ_CP021070__551899"	"Mesorhizobium_tamadayense_DSM_28320__EH240_RS27090__NZ_RQXT01000042__556982"	"Mesorhizobium_temperatum_SDW018__CIT26_RS20490__NZ_NPKJ01000057__564617"	"Mesorhizobium_tianshanense_CGMCC_1.2546__IQ26_RS34180__NZ_VLKT01000071__578259"	"Mesorhizobium_waimense_ICMP19557__D3227_RS33070__NZ_QZWZ01000047__584124"	"Mesorhizobium_wenxiniae_WYCCWR_10195__CIT31_RS01235__NZ_NPKH01000001__588332"
"Mesorhizobium_ciceri_WSM1284__A4R29_RS04685__NZ_CP015064__82352"	97.6430976430976	95.6228956228956	96.969696969697	98.989898989899	97.979797979798	98.3164983164983	96.2962962962963	97.979797979798	97.979797979798	98.989898989899	100	99.3265993265993	94.9494949494949	96.969696969697	94.9494949494949	96.969696969697	97.6430976430976	77.4410774410774	77.4410774410774	94.9494949494949	94.9494949494949	94.9494949494949	68.3501683501683	68.6868686868687	96.969696969697	94.9494949494949	94.9494949494949	94.9494949494949	94.9494949494949	94.9494949494949	98.989898989899	97.979797979798	94.9494949494949	98.989898989899	99.3265993265993	97.6430976430976	96.2962962962963	94.9494949494949	97.979797979798	94.2760942760943	94.9494949494949	94.9494949494949	94.9494949494949	94.9494949494949	94.9494949494949	94.9494949494949	99.3265993265993	96.2962962962963	96.2962962962963	96.2962962962963	96.6329966329966	94.9494949494949	94.9494949494949	94.9494949494949	97.979797979798	97.979797979798	91.9191919191919	97.979797979798	94.9494949494949	97.979797979798	97.979797979798	97.979797979798	91.9191919191919	97.979797979798	97.6430976430976	97.979797979798	97.979797979798	97.979797979798	97.979797979798	97.979797979798	97.979797979798	94.9494949494949	94.9494949494949	94.9494949494949	98.6531986531986	97.979797979798	98.6531986531986	98.6531986531986	94.2760942760943	97.979797979798
"Mesorhizobium_delmotii_STM_462__BQ8482_RS29735__NZ_FUIG01000049__97876"	98.3164983164983	96.2962962962963	97.6430976430976	99.6632996632997	98.6531986531986	98.3164983164983	96.969696969697	97.979797979798	97.979797979798	99.6632996632997	99.3265993265993	100	95.6228956228956	97.6430976430976	95.6228956228956	97.6430976430976	98.3164983164983	78.1144781144781	78.1144781144781	95.6228956228956	95.6228956228956	95.6228956228956	68.3501683501683	68.6868686868687	97.6430976430976	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	99.6632996632997	97.979797979798	95.6228956228956	99.6632996632997	100	98.3164983164983	96.969696969697	95.6228956228956	98.6531986531986	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	100	96.969696969697	96.969696969697	96.969696969697	97.3063973063973	95.6228956228956	95.6228956228956	95.6228956228956	97.979797979798	97.979797979798	92.5925925925926	97.979797979798	95.6228956228956	97.979797979798	97.979797979798	97.979797979798	92.5925925925926	97.979797979798	97.6430976430976	97.979797979798	97.979797979798	97.979797979798	97.979797979798	97.979797979798	97.979797979798	95.6228956228956	95.6228956228956	95.6228956228956	99.3265993265993	98.6531986531986	99.3265993265993	99.3265993265993	94.9494949494949	97.979797979798
"Mesorhizobium_erdmanii_NZP2014__EB233_RS30305__NZ_CP033361__114892"	96.2962962962963	95.6228956228956	94.9494949494949	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	100	94.6127946127946	100	95.2861952861953	95.6228956228956	81.4814814814815	81.4814814814815	99.6632996632997	100	100	66.3299663299663	65.993265993266	95.2861952861953	100	100	100	100	99.6632996632997	95.6228956228956	93.9393939393939	100	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	99.3265993265993	95.6228956228956	95.6228956228956	100	100	100	99.6632996632997	99.6632996632997	100	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.2760942760943	100	100	99.6632996632997	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	100	100	100	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939
"Mesorhizobium_hawassense_AC99b__DPM33_RS33725__NZ_QMBP01000030__119439"	97.3063973063973	95.6228956228956	98.3164983164983	97.3063973063973	97.6430976430976	96.6329966329966	96.6329966329966	95.6228956228956	95.6228956228956	97.3063973063973	96.969696969697	97.6430976430976	94.6127946127946	100	94.6127946127946	95.959595959596	96.6329966329966	77.1043771043771	77.1043771043771	94.6127946127946	94.6127946127946	94.6127946127946	67.6767676767677	67.3400673400673	95.959595959596	94.6127946127946	94.6127946127946	94.6127946127946	94.6127946127946	94.6127946127946	97.3063973063973	95.6228956228956	94.6127946127946	97.3063973063973	97.6430976430976	96.6329966329966	95.2861952861953	94.9494949494949	97.6430976430976	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.6127946127946	94.6127946127946	94.6127946127946	97.6430976430976	95.6228956228956	95.6228956228956	95.6228956228956	98.6531986531986	94.6127946127946	94.6127946127946	94.6127946127946	95.6228956228956	95.6228956228956	91.9191919191919	95.6228956228956	95.959595959596	95.6228956228956	95.6228956228956	95.6228956228956	91.9191919191919	95.6228956228956	95.2861952861953	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	96.969696969697	97.3063973063973	97.6430976430976	97.6430976430976	96.2962962962963	95.6228956228956
"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31980__NZ_PZJX01000070__128153"	96.2962962962963	95.6228956228956	94.9494949494949	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	100	94.6127946127946	100	95.2861952861953	95.6228956228956	81.4814814814815	81.4814814814815	99.6632996632997	100	100	66.3299663299663	65.993265993266	95.2861952861953	100	100	100	100	99.6632996632997	95.6228956228956	93.9393939393939	100	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	99.3265993265993	95.6228956228956	95.6228956228956	100	100	100	99.6632996632997	99.6632996632997	100	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.2760942760943	100	100	99.6632996632997	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	100	100	100	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939
"Mesorhizobium_huakuii_583__HB778_RS39830__NZ_CP050299__135214"	98.3164983164983	95.959595959596	96.969696969697	97.979797979798	98.3164983164983	98.3164983164983	96.6329966329966	96.2962962962963	96.2962962962963	97.979797979798	96.969696969697	97.6430976430976	95.2861952861953	95.959595959596	95.2861952861953	100	97.6430976430976	77.7777777777778	77.7777777777778	95.6228956228956	95.2861952861953	95.2861952861953	68.3501683501683	68.013468013468	100	95.2861952861953	95.2861952861953	95.2861952861953	95.2861952861953	95.6228956228956	97.979797979798	96.2962962962963	95.2861952861953	97.979797979798	97.6430976430976	97.6430976430976	98.989898989899	94.6127946127946	97.6430976430976	96.2962962962963	95.2861952861953	95.2861952861953	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	97.6430976430976	99.3265993265993	99.3265993265993	99.3265993265993	95.959595959596	95.2861952861953	95.2861952861953	95.6228956228956	96.2962962962963	96.2962962962963	91.5824915824916	96.2962962962963	95.2861952861953	96.2962962962963	96.2962962962963	96.2962962962963	91.5824915824916	96.2962962962963	95.959595959596	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	95.2861952861953	95.2861952861953	95.2861952861953	97.6430976430976	98.3164983164983	98.3164983164983	98.3164983164983	96.2962962962963	96.2962962962963
"Mesorhizobium_huakuii_7653R__MCHK_RS32325__NZ_CP006583__141923"	97.6430976430976	95.6228956228956	96.6329966329966	98.6531986531986	98.3164983164983	98.3164983164983	96.6329966329966	97.6430976430976	97.6430976430976	98.6531986531986	97.6430976430976	98.3164983164983	95.6228956228956	96.6329966329966	95.6228956228956	97.6430976430976	100	78.1144781144781	78.1144781144781	95.6228956228956	95.6228956228956	95.6228956228956	69.023569023569	68.6868686868687	97.6430976430976	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	97.979797979798	97.6430976430976	95.6228956228956	98.6531986531986	98.3164983164983	100	97.979797979798	95.6228956228956	98.3164983164983	95.959595959596	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	98.3164983164983	96.969696969697	96.969696969697	96.969696969697	96.2962962962963	95.6228956228956	95.6228956228956	95.6228956228956	97.6430976430976	97.6430976430976	92.5925925925926	97.6430976430976	95.2861952861953	97.6430976430976	97.6430976430976	97.6430976430976	92.5925925925926	97.6430976430976	97.3063973063973	97.6430976430976	97.6430976430976	97.6430976430976	97.6430976430976	97.6430976430976	97.6430976430976	95.6228956228956	95.6228956228956	95.6228956228956	98.3164983164983	98.3164983164983	98.989898989899	98.989898989899	95.959595959596	97.6430976430976
"Mesorhizobium_intechi_BD68__C1D09_RS23885__NZ_PNOT02000271__151277"	78.4511784511784	77.7777777777778	77.7777777777778	77.7777777777778	78.1144781144781	77.7777777777778	77.4410774410774	76.4309764309764	76.4309764309764	77.7777777777778	77.4410774410774	78.1144781144781	81.4814814814815	77.1043771043771	81.4814814814815	77.7777777777778	78.1144781144781	100	100	81.8181818181818	81.4814814814815	81.4814814814815	48.8215488215488	48.4848484848485	77.7777777777778	81.4814814814815	81.4814814814815	81.4814814814815	81.4814814814815	81.8181818181818	78.4511784511784	76.4309764309764	81.4814814814815	77.7777777777778	78.1144781144781	78.1144781144781	77.7777777777778	81.1447811447811	78.1144781144781	77.7777777777778	81.4814814814815	81.4814814814815	81.4814814814815	81.8181818181818	81.8181818181818	81.4814814814815	78.1144781144781	77.1043771043771	77.4410774410774	77.1043771043771	76.7676767676768	81.4814814814815	81.4814814814815	81.8181818181818	76.4309764309764	76.4309764309764	77.7777777777778	76.4309764309764	78.4511784511784	76.4309764309764	76.4309764309764	76.4309764309764	77.7777777777778	76.4309764309764	76.0942760942761	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	81.4814814814815	81.4814814814815	81.4814814814815	77.7777777777778	77.7777777777778	78.1144781144781	78.1144781144781	77.4410774410774	76.4309764309764
"Mesorhizobium_intechi_BD68__C1D09_RS09195__NZ_PNOT02000101__153721"	78.4511784511784	77.7777777777778	77.7777777777778	77.7777777777778	78.1144781144781	77.7777777777778	77.4410774410774	76.4309764309764	76.4309764309764	77.7777777777778	77.4410774410774	78.1144781144781	81.4814814814815	77.1043771043771	81.4814814814815	77.7777777777778	78.1144781144781	100	100	81.8181818181818	81.4814814814815	81.4814814814815	48.8215488215488	48.4848484848485	77.7777777777778	81.4814814814815	81.4814814814815	81.4814814814815	81.4814814814815	81.8181818181818	78.4511784511784	76.4309764309764	81.4814814814815	77.7777777777778	78.1144781144781	78.1144781144781	77.7777777777778	81.1447811447811	78.1144781144781	77.7777777777778	81.4814814814815	81.4814814814815	81.4814814814815	81.8181818181818	81.8181818181818	81.4814814814815	78.1144781144781	77.1043771043771	77.4410774410774	77.1043771043771	76.7676767676768	81.4814814814815	81.4814814814815	81.8181818181818	76.4309764309764	76.4309764309764	77.7777777777778	76.4309764309764	78.4511784511784	76.4309764309764	76.4309764309764	76.4309764309764	77.7777777777778	76.4309764309764	76.0942760942761	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	76.4309764309764	81.4814814814815	81.4814814814815	81.4814814814815	77.7777777777778	77.7777777777778	78.1144781144781	78.1144781144781	77.4410774410774	76.4309764309764
"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS24195__NC_002678__158812"	96.2962962962963	95.2861952861953	95.2861952861953	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	99.6632996632997	94.6127946127946	99.6632996632997	95.6228956228956	95.6228956228956	81.8181818181818	81.8181818181818	100	99.6632996632997	99.6632996632997	66.3299663299663	65.993265993266	95.6228956228956	99.6632996632997	99.6632996632997	99.6632996632997	99.6632996632997	100	95.959595959596	93.9393939393939	99.6632996632997	95.2861952861953	95.6228956228956	95.6228956228956	95.6228956228956	98.989898989899	95.6228956228956	95.959595959596	99.6632996632997	99.6632996632997	99.6632996632997	100	100	99.6632996632997	95.6228956228956	94.9494949494949	94.9494949494949	94.9494949494949	94.2760942760943	99.6632996632997	99.6632996632997	100	93.9393939393939	93.9393939393939	95.6228956228956	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.6228956228956	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	99.6632996632997	99.6632996632997	99.6632996632997	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.6228956228956	93.9393939393939
"Mesorhizobium_japonicum_R7A__R7A2020_RS30335__NZ_CP051772__167293"	96.2962962962963	95.6228956228956	94.9494949494949	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	100	94.6127946127946	100	95.2861952861953	95.6228956228956	81.4814814814815	81.4814814814815	99.6632996632997	100	100	66.3299663299663	65.993265993266	95.2861952861953	100	100	100	100	99.6632996632997	95.6228956228956	93.9393939393939	100	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	99.3265993265993	95.6228956228956	95.6228956228956	100	100	100	99.6632996632997	99.6632996632997	100	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.2760942760943	100	100	99.6632996632997	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	100	100	100	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939
"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS32785__NZ_CP033507__173901"	96.2962962962963	95.6228956228956	94.9494949494949	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	100	94.6127946127946	100	95.2861952861953	95.6228956228956	81.4814814814815	81.4814814814815	99.6632996632997	100	100	66.3299663299663	65.993265993266	95.2861952861953	100	100	100	100	99.6632996632997	95.6228956228956	93.9393939393939	100	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	99.3265993265993	95.6228956228956	95.6228956228956	100	100	100	99.6632996632997	99.6632996632997	100	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.2760942760943	100	100	99.6632996632997	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	100	100	100	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939
"Mesorhizobium_kowhaii_Ach-343__B5V02_RS18525__NZ_MZXV01000038__178241"	67.6767676767677	67.003367003367	67.3400673400673	68.6868686868687	68.6868686868687	68.6868686868687	67.6767676767677	68.013468013468	68.013468013468	68.6868686868687	68.3501683501683	68.3501683501683	66.3299663299663	67.6767676767677	66.3299663299663	68.3501683501683	69.023569023569	48.8215488215488	48.8215488215488	66.3299663299663	66.3299663299663	66.3299663299663	100	99.6632996632997	68.3501683501683	66.3299663299663	66.3299663299663	66.3299663299663	66.3299663299663	66.3299663299663	68.3501683501683	68.013468013468	66.3299663299663	68.6868686868687	68.3501683501683	69.023569023569	68.3501683501683	66.6666666666667	68.3501683501683	66.6666666666667	66.3299663299663	66.3299663299663	66.3299663299663	66.3299663299663	66.3299663299663	66.3299663299663	68.3501683501683	68.013468013468	68.013468013468	68.013468013468	67.3400673400673	66.3299663299663	66.3299663299663	66.3299663299663	68.013468013468	68.013468013468	70.3703703703704	68.013468013468	66.3299663299663	68.013468013468	68.013468013468	68.013468013468	70.3703703703704	68.013468013468	68.013468013468	68.013468013468	68.013468013468	68.013468013468	68.013468013468	68.013468013468	68.013468013468	66.3299663299663	66.3299663299663	66.3299663299663	68.3501683501683	68.6868686868687	69.023569023569	69.023569023569	66.6666666666667	68.013468013468
"Mesorhizobium_kowhaii_Ach-343__B5V02_RS02225__NZ_MZXV01000011__178795"	67.3400673400673	66.6666666666667	67.003367003367	69.023569023569	68.3501683501683	68.3501683501683	67.3400673400673	68.3501683501683	68.3501683501683	69.023569023569	68.6868686868687	68.6868686868687	65.993265993266	67.3400673400673	65.993265993266	68.013468013468	68.6868686868687	48.4848484848485	48.4848484848485	65.993265993266	65.993265993266	65.993265993266	99.6632996632997	100	68.013468013468	65.993265993266	65.993265993266	65.993265993266	65.993265993266	65.993265993266	68.6868686868687	68.3501683501683	65.993265993266	69.023569023569	68.6868686868687	68.6868686868687	68.013468013468	66.3299663299663	68.013468013468	66.3299663299663	65.993265993266	65.993265993266	65.993265993266	65.993265993266	65.993265993266	65.993265993266	68.6868686868687	67.6767676767677	67.6767676767677	67.6767676767677	67.003367003367	65.993265993266	65.993265993266	65.993265993266	68.3501683501683	68.3501683501683	70.03367003367	68.3501683501683	65.993265993266	68.3501683501683	68.3501683501683	68.3501683501683	70.03367003367	68.3501683501683	68.3501683501683	68.3501683501683	68.3501683501683	68.3501683501683	68.3501683501683	68.3501683501683	68.3501683501683	65.993265993266	65.993265993266	65.993265993266	68.6868686868687	68.3501683501683	68.6868686868687	68.6868686868687	66.3299663299663	68.3501683501683
"Mesorhizobium_loti_582__HB777_RS39510__NZ_CP050295__188870"	98.3164983164983	95.959595959596	96.969696969697	97.979797979798	98.3164983164983	98.3164983164983	96.6329966329966	96.2962962962963	96.2962962962963	97.979797979798	96.969696969697	97.6430976430976	95.2861952861953	95.959595959596	95.2861952861953	100	97.6430976430976	77.7777777777778	77.7777777777778	95.6228956228956	95.2861952861953	95.2861952861953	68.3501683501683	68.013468013468	100	95.2861952861953	95.2861952861953	95.2861952861953	95.2861952861953	95.6228956228956	97.979797979798	96.2962962962963	95.2861952861953	97.979797979798	97.6430976430976	97.6430976430976	98.989898989899	94.6127946127946	97.6430976430976	96.2962962962963	95.2861952861953	95.2861952861953	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	97.6430976430976	99.3265993265993	99.3265993265993	99.3265993265993	95.959595959596	95.2861952861953	95.2861952861953	95.6228956228956	96.2962962962963	96.2962962962963	91.5824915824916	96.2962962962963	95.2861952861953	96.2962962962963	96.2962962962963	96.2962962962963	91.5824915824916	96.2962962962963	95.959595959596	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	96.2962962962963	95.2861952861953	95.2861952861953	95.2861952861953	97.6430976430976	98.3164983164983	98.3164983164983	98.3164983164983	96.2962962962963	96.2962962962963
"Mesorhizobium_loti_NZP2037__A9174_RS32465__NZ_CP016079__201651"	96.2962962962963	95.6228956228956	94.9494949494949	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939	93.9393939393939	95.2861952861953	94.9494949494949	95.6228956228956	100	94.6127946127946	100	95.2861952861953	95.6228956228956	81.4814814814815	81.4814814814815	99.6632996632997	100	100	66.3299663299663	65.993265993266	95.2861952861953	100	100	100	100	99.6632996632997	95.6228956228956	93.9393939393939	100	95.2861952861953	95.6228956228956	95.6228956228956	95.2861952861953	99.3265993265993	95.6228956228956	95.6228956228956	100	100	100	99.6632996632997	99.6632996632997	100	95.6228956228956	94.6127946127946	94.6127946127946	94.6127946127946	94.2760942760943	100	100	99.6632996632997	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	95.959595959596	93.9393939393939	93.9393939393939	93.9393939393939	95.959595959596	93.9393939393939	93.6026936026936	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	93.9393939393939	100	100	100	94.9494949494949	95.6228956228956	95.6228956228956	95.6228956228956	95.2861952861953	93.9393939393939
