"Mesorhizobium_albiziae_DSM_21822__F3H98_RS27485__NZ_FOSL01000033__10957"	"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32090__NZ_CP015322__24408"	"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29640__NZ_QMBQ01000012__26884"	"Mesorhizobium_australicum_WSM2073__MESAU_RS28510__NC_019973__36535"	"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS19700__NZ_JAAKZF010000030__40402"	"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS09900__NZ_JHQT01000033__46485"	"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS40705__NZ_FZQR01000063__61650"	"Mesorhizobium_ciceri_ca181__M1C_RS30370__NZ_CM002796__68288"	"Mesorhizobium_ciceri_CC1192__A4R28_RS21925__NZ_CP015062__72953"	"Mesorhizobium_ciceri_WSM1271__MESCI_RS29065__NC_014923__80838"	"Mesorhizobium_ciceri_WSM1284__A4R29_RS04695__NZ_CP015064__82354"	"Mesorhizobium_delmotii_STM_462__BQ8482_RS29725__NZ_FUIG01000049__97874"	"Mesorhizobium_erdmanii_NZP2014__EB233_RS30295__NZ_CP033361__114890"	"Mesorhizobium_hawassense_AC99b__DPM33_RS33735__NZ_QMBP01000030__119441"	"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31970__NZ_PZJX01000070__128151"	"Mesorhizobium_huakuii_583__HB778_RS39840__NZ_CP050299__135216"	"Mesorhizobium_huakuii_7653R__MCHK_RS32315__NZ_CP006583__141921"	"Mesorhizobium_intechi_BD68__C1D09_RS23875__NZ_PNOT02000271__151275"	"Mesorhizobium_intechi_BD68__C1D09_RS09185__NZ_PNOT02000101__153719"	"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS24205__NC_002678__158814"	"Mesorhizobium_japonicum_R7A__R7A2020_RS30325__NZ_CP051772__167291"	"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS32775__NZ_CP033507__173899"	"Mesorhizobium_kowhaii_Ach-343__B5V02_RS21150__NZ_MZXV01000045__179961"	"Mesorhizobium_loti_582__HB777_RS39500__NZ_CP050295__188868"	"Mesorhizobium_loti_NZP2037__A9174_RS32455__NZ_CP016079__201649"	"Mesorhizobium_loti_NZP2042__EB815_RS32245__NZ_CP033334__208568"	"Mesorhizobium_loti_R88b__EB235_RS33330__NZ_CP033367__215287"	"Mesorhizobium_loti_SU343__EFV37_RS32780__NZ_CP033368__221898"	"Mesorhizobium_loti_TONO__MLTONO_RS26540__NZ_AP017605__227509"	"Mesorhizobium_metallidurans_STM_2683__MESS2_RS28720__NZ_CAUM01000170__230455"	"Mesorhizobium_muleiense_CGMCC_1.11022__BLT09_RS28275__NZ_FNEE01000025__241215"	"Mesorhizobium_norvegicum_10.2.2__FCU66_RS30675__NZ_SMYZ01000081__249238"	"Mesorhizobium_opportunistum_WSM2075__MESOP_RS31485__NC_015675__261271"	"Mesorhizobium_prunaredense_1__BQ8794_RS15160__NZ_FTPD01000017__262648"	"Mesorhizobium_qingshengii_CGMCC_1.12097__BLS48_RS33625__NZ_FMXM01000054__274078"	"Mesorhizobium_sangaii_DSM_100039__HNQ71_RS32330__NZ_JACHEF010000011__280904"	"Mesorhizobium_sanjuanii_BSA136__CN311_RS02510__NZ_NWQG01000012__281757"	"Mesorhizobium_silamurunense_CCBAU_45272__AU465_RS03070__NZ_LPVS01000012__293975"	"Mesorhizobium_sophorae_ICMP_19535__CGZ66_RS30955__NZ_NNRI01000021__308435"	"Mesorhizobium_sp_113-1-2__JN279_RS36955__NZ_AP023242__319612"	"Mesorhizobium_sp_113-3-3__JG746_RS32675__NZ_AP023243__326188"	"Mesorhizobium_sp_113-3-9__MesoLj_RS34790__NZ_AP023246__333797"	"Mesorhizobium_sp_131-2-1__JG743_RS31520__NZ_AP023247__340184"	"Mesorhizobium_sp_131-2-5__JG740_RS32785__NZ_AP023249__347047"	"Mesorhizobium_sp_131-3-5__JG747_RS33610__NZ_AP023255__354694"	"Mesorhizobium_sp_AA22__A9K68_RS29075__NZ_CP048406__365356"	"Mesorhizobium_sp_AR02__DBIPINDM_007270__contig_2__365812"	"Mesorhizobium_sp_AR07__BPNPMPFG_007254__contig_2__381192"	"Mesorhizobium_sp_AR10__LHFGNBLO_006548__contig_2__382129"	"Mesorhizobium_sp_J8__MJ8_RS06980__NZ_AP024109__400910"	"Mesorhizobium_sp_L-2-11__JG739_RS30385__NZ_AP023257__411627"	"Mesorhizobium_sp_L-8-10__JN280_RS34685__NZ_AP023263__419196"	"Mesorhizobium_sp_L-8-3__JN302_RS34005__NZ_AP023262__426630"	"Mesorhizobium_sp_M1A.F.Ca.IN.022.06.1.1__EJ078_RS10025__NZ_CP034455__429483"	"Mesorhizobium_sp_M1B.F.Ca.ET.045.04.1.1__EJ071_RS06800__NZ_CP034448__434558"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS11035__NZ_CP034444__442555"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS18925__NZ_CP034444__444067"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS02165__NZ_CP034447__447364"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS36005__NZ_CP034447__453822"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.02.1.1__EJ068_RS12960__NZ_CP034445__456293"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.05.1.1__EJ069_RS26880__NZ_CP034446__465208"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS06655__NZ_CP034449__467477"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS16875__NZ_CP034449__469420"	"Mesorhizobium_sp_M3A.F.Ca.ET.080.04.2.1__EJ074_RS18265__NZ_CP034451__476486"	"Mesorhizobium_sp_M4B.F.Ca.ET.058.02.1.1__EJ073_RS22425__NZ_CP034450__482859"	"Mesorhizobium_sp_M6A.T.Cr.TU.016.01.1.1__EJ075_RS16125__NZ_CP034452__487598"	"Mesorhizobium_sp_M7A.F.Ce.TU.012.03.2.1__EJ079_RS09915__NZ_CP034779__492683"	"Mesorhizobium_sp_M7D.F.Ca.US.005.01.1.1__EJ076_RS01905__NZ_CP034453__497445"	"Mesorhizobium_sp_M8A.F.Ca.ET.057.01.1.1__EJ077_RS01165__NZ_CP034454__504051"	"Mesorhizobium_sp_M9A.F.Ca.ET.002.03.1.2__EJ066_RS12235__NZ_CP034443__512066"	"Mesorhizobium_sp_NZP2077__HGP13_RS34660__NZ_CP051293__526090"	"Mesorhizobium_sp_NZP2234__EB230_RS31365__NZ_CP033364__532746"	"Mesorhizobium_sp_NZP2298__EB231_RS32985__NZ_CP033365__539380"	"Mesorhizobium_sp_WSM1497__A9K65_RS31395__NZ_CP021070__551897"	"Mesorhizobium_tamadayense_DSM_28320__EH240_RS27100__NZ_RQXT01000042__556984"	"Mesorhizobium_temperatum_SDW018__CIT26_RS20500__NZ_NPKJ01000057__564619"	"Mesorhizobium_tianshanense_CGMCC_1.2546__IQ26_RS34170__NZ_VLKT01000071__578257"	"Mesorhizobium_waimense_ICMP19557__D3227_RS33060__NZ_QZWZ01000047__584122"	"Mesorhizobium_wenxiniae_WYCCWR_10195__CIT31_RS01245__NZ_NPKH01000001__588334"
"Mesorhizobium_ciceri_WSM1284__A4R29_RS04695__NZ_CP015064__82354"	90.6432748538012	92.5925925925926	90.0584795321637	95.5165692007797	89.8635477582846	92.9824561403509	92.7875243664717	91.2280701754386	91.0331384015595	95.5165692007797	100	97.4658869395711	90.8382066276803	91.812865497076	90.448343079922	93.3723196881092	92.7875243664717	90.8382066276803	90.8382066276803	90.8382066276803	91.4230019493177	90.8382066276803	93.7621832358674	92.9824561403509	90.8382066276803	90.6432748538012	91.4230019493177	90.8382066276803	91.4230019493177	96.2962962962963	91.2280701754386	91.2280701754386	95.5165692007797	97.0760233918129	92.9824561403509	93.17738791423	90.6432748538012	93.7621832358674	93.3723196881092	90.6432748538012	90.6432748538012	90.6432748538012	91.0331384015595	91.0331384015595	91.0331384015595	97.270955165692	94.3469785575049	92.2027290448343	93.5672514619883	91.4230019493177	90.448343079922	91.2280701754386	91.2280701754386	91.0331384015595	91.0331384015595	91.4230019493177	90.8382066276803	91.0331384015595	89.6686159844054	90.8382066276803	90.8382066276803	91.4230019493177	90.8382066276803	90.8382066276803	91.2280701754386	91.0331384015595	91.0331384015595	91.0331384015595	90.8382066276803	91.0331384015595	90.6432748538012	90.6432748538012	91.4230019493177	95.7115009746589	92.7875243664717	93.7621832358674	93.9571150097466	93.17738791423	91.2280701754386
"Mesorhizobium_delmotii_STM_462__BQ8482_RS29725__NZ_FUIG01000049__97874"	90.6432748538012	92.3976608187135	90.448343079922	95.5165692007797	90.2534113060429	94.1520467836257	92.9824561403509	91.0331384015595	90.8382066276803	95.5165692007797	97.4658869395711	100	91.0331384015595	92.0077972709552	91.0331384015595	94.3469785575049	93.9571150097466	91.0331384015595	91.0331384015595	91.0331384015595	91.6179337231969	90.8382066276803	94.541910331384	93.5672514619883	90.8382066276803	91.2280701754386	91.6179337231969	90.8382066276803	91.6179337231969	98.0506822612086	91.0331384015595	91.4230019493177	95.5165692007797	98.4405458089669	94.1520467836257	93.7621832358674	90.8382066276803	93.9571150097466	94.1520467836257	90.8382066276803	90.6432748538012	90.6432748538012	91.2280701754386	91.2280701754386	91.2280701754386	98.635477582846	94.9317738791423	92.7875243664717	94.541910331384	92.0077972709552	90.6432748538012	91.4230019493177	91.4230019493177	90.8382066276803	90.8382066276803	92.0077972709552	90.6432748538012	90.8382066276803	89.8635477582846	90.6432748538012	90.6432748538012	92.0077972709552	90.6432748538012	90.6432748538012	91.0331384015595	90.8382066276803	90.8382066276803	90.8382066276803	90.6432748538012	90.8382066276803	91.2280701754386	91.2280701754386	91.6179337231969	95.3216374269006	93.3723196881092	94.541910331384	94.541910331384	93.9571150097466	91.0331384015595
"Mesorhizobium_erdmanii_NZP2014__EB233_RS30295__NZ_CP033361__114890"	92.3976608187135	93.5672514619883	90.0584795321637	90.6432748538012	92.2027290448343	92.7875243664717	91.4230019493177	89.8635477582846	90.0584795321637	90.6432748538012	90.8382066276803	91.0331384015595	100	92.5925925925926	98.635477582846	92.9824561403509	92.5925925925926	98.635477582846	98.635477582846	98.8304093567251	99.0253411306043	99.4152046783626	92.3976608187135	93.17738791423	99.4152046783626	99.8050682261209	99.0253411306043	99.4152046783626	99.2202729044834	91.0331384015595	89.8635477582846	99.0253411306043	90.6432748538012	91.6179337231969	92.7875243664717	92.9824561403509	98.4405458089669	92.9824561403509	92.0077972709552	98.4405458089669	98.0506822612086	98.0506822612086	99.2202729044834	99.2202729044834	99.0253411306043	91.2280701754386	93.17738791423	92.3976608187135	92.9824561403509	92.0077972709552	98.2456140350877	98.8304093567251	99.0253411306043	90.0584795321637	90.0584795321637	96.8810916179337	89.8635477582846	90.0584795321637	92.3976608187135	89.8635477582846	89.8635477582846	96.8810916179337	89.8635477582846	89.8635477582846	89.8635477582846	90.0584795321637	90.0584795321637	90.0584795321637	89.8635477582846	90.0584795321637	98.4405458089669	98.4405458089669	99.2202729044834	90.0584795321637	92.0077972709552	93.3723196881092	94.1520467836257	92.0077972709552	89.8635477582846
"Mesorhizobium_hawassense_AC99b__DPM33_RS33735__NZ_QMBP01000030__119441"	92.0077972709552	93.7621832358674	93.3723196881092	90.8382066276803	91.0331384015595	92.3976608187135	91.6179337231969	90.2534113060429	90.2534113060429	90.8382066276803	91.812865497076	92.0077972709552	92.5925925925926	100	92.2027290448343	93.3723196881092	92.7875243664717	92.5925925925926	92.5925925925926	92.5925925925926	92.7875243664717	92.3976608187135	93.17738791423	93.17738791423	92.3976608187135	92.3976608187135	92.7875243664717	92.3976608187135	92.7875243664717	91.6179337231969	90.2534113060429	92.9824561403509	90.8382066276803	92.3976608187135	92.9824561403509	92.9824561403509	92.2027290448343	92.9824561403509	92.0077972709552	92.2027290448343	92.0077972709552	92.0077972709552	92.7875243664717	92.7875243664717	92.7875243664717	92.0077972709552	93.5672514619883	92.3976608187135	93.3723196881092	94.541910331384	92.0077972709552	92.5925925925926	92.5925925925926	90.2534113060429	90.2534113060429	92.3976608187135	90.0584795321637	90.2534113060429	91.4230019493177	90.0584795321637	90.0584795321637	92.3976608187135	90.0584795321637	90.0584795321637	90.2534113060429	90.2534113060429	90.2534113060429	90.2534113060429	90.0584795321637	90.2534113060429	92.3976608187135	92.3976608187135	92.7875243664717	90.8382066276803	91.812865497076	92.9824561403509	93.9571150097466	92.2027290448343	90.2534113060429
"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31970__NZ_PZJX01000070__128151"	92.0077972709552	93.3723196881092	89.8635477582846	90.448343079922	91.812865497076	92.7875243664717	91.4230019493177	90.0584795321637	90.2534113060429	90.448343079922	90.448343079922	91.0331384015595	98.635477582846	92.2027290448343	100	92.7875243664717	92.7875243664717	98.4405458089669	98.4405458089669	98.0506822612086	98.8304093567251	98.0506822612086	92.5925925925926	92.9824561403509	98.0506822612086	98.8304093567251	98.8304093567251	98.0506822612086	99.0253411306043	91.0331384015595	90.0584795321637	98.2456140350877	90.448343079922	91.6179337231969	92.9824561403509	92.7875243664717	98.2456140350877	93.17738791423	91.812865497076	97.8557504873294	97.270955165692	97.270955165692	99.0253411306043	99.0253411306043	98.8304093567251	91.2280701754386	92.9824561403509	92.2027290448343	92.7875243664717	92.0077972709552	97.6608187134503	98.635477582846	98.8304093567251	90.2534113060429	90.2534113060429	96.6861598440546	90.0584795321637	90.2534113060429	92.0077972709552	90.0584795321637	90.0584795321637	96.6861598440546	90.0584795321637	90.0584795321637	90.0584795321637	90.2534113060429	90.2534113060429	90.2534113060429	90.0584795321637	90.2534113060429	99.4152046783626	99.0253411306043	98.2456140350877	89.8635477582846	91.6179337231969	93.3723196881092	93.9571150097466	91.812865497076	90.0584795321637
"Mesorhizobium_huakuii_583__HB778_RS39840__NZ_CP050299__135216"	92.9824561403509	95.3216374269006	91.812865497076	93.5672514619883	92.2027290448343	96.1013645224172	94.7368421052632	92.5925925925926	92.5925925925926	93.5672514619883	93.3723196881092	94.3469785575049	92.9824561403509	93.3723196881092	92.7875243664717	100	96.4912280701754	93.3723196881092	93.3723196881092	92.7875243664717	93.7621832358674	92.7875243664717	96.2962962962963	98.4405458089669	92.7875243664717	92.7875243664717	93.7621832358674	92.7875243664717	93.7621832358674	94.541910331384	92.5925925925926	93.17738791423	93.5672514619883	94.9317738791423	96.6861598440546	98.0506822612086	93.3723196881092	96.8810916179337	94.7368421052632	92.5925925925926	92.2027290448343	92.2027290448343	93.3723196881092	93.3723196881092	93.3723196881092	94.7368421052632	99.0253411306043	97.8557504873294	99.0253411306043	93.17738791423	92.3976608187135	93.5672514619883	93.5672514619883	92.5925925925926	92.5925925925926	93.7621832358674	92.3976608187135	92.5925925925926	92.2027290448343	92.3976608187135	92.3976608187135	93.7621832358674	92.3976608187135	92.3976608187135	92.5925925925926	92.5925925925926	92.5925925925926	92.5925925925926	92.3976608187135	92.5925925925926	92.9824561403509	92.9824561403509	93.3723196881092	93.17738791423	95.7115009746589	96.6861598440546	97.6608187134503	94.7368421052632	92.5925925925926
"Mesorhizobium_huakuii_7653R__MCHK_RS32315__NZ_CP006583__141921"	92.0077972709552	94.3469785575049	92.0077972709552	92.7875243664717	91.4230019493177	96.6861598440546	93.7621832358674	92.5925925925926	92.5925925925926	92.7875243664717	92.7875243664717	93.9571150097466	92.5925925925926	92.7875243664717	92.7875243664717	96.4912280701754	100	92.9824561403509	92.9824561403509	92.3976608187135	93.3723196881092	92.3976608187135	98.0506822612086	95.3216374269006	92.3976608187135	92.5925925925926	93.3723196881092	92.3976608187135	93.3723196881092	93.9571150097466	92.5925925925926	92.7875243664717	92.7875243664717	94.541910331384	99.8050682261209	95.7115009746589	92.7875243664717	95.7115009746589	94.541910331384	92.3976608187135	91.812865497076	91.812865497076	92.9824561403509	92.9824561403509	92.9824561403509	94.3469785575049	96.2962962962963	94.7368421052632	96.4912280701754	92.9824561403509	92.2027290448343	93.17738791423	93.17738791423	92.5925925925926	92.5925925925926	92.9824561403509	92.3976608187135	92.5925925925926	91.6179337231969	92.3976608187135	92.3976608187135	92.9824561403509	92.3976608187135	92.3976608187135	92.5925925925926	92.5925925925926	92.5925925925926	92.5925925925926	92.3976608187135	92.5925925925926	92.7875243664717	92.7875243664717	92.9824561403509	92.5925925925926	94.7368421052632	96.6861598440546	96.6861598440546	94.3469785575049	92.5925925925926
"Mesorhizobium_intechi_BD68__C1D09_RS23875__NZ_PNOT02000271__151275"	92.7875243664717	93.7621832358674	90.2534113060429	91.0331384015595	92.2027290448343	93.17738791423	91.812865497076	90.0584795321637	90.2534113060429	91.0331384015595	90.8382066276803	91.0331384015595	98.635477582846	92.5925925925926	98.4405458089669	93.3723196881092	92.9824561403509	100	100	98.0506822612086	98.8304093567251	98.0506822612086	92.7875243664717	93.5672514619883	98.0506822612086	98.4405458089669	98.8304093567251	98.0506822612086	99.0253411306043	91.0331384015595	90.0584795321637	98.2456140350877	91.0331384015595	91.6179337231969	93.17738791423	93.5672514619883	98.2456140350877	93.3723196881092	92.5925925925926	97.8557504873294	97.6608187134503	97.6608187134503	99.0253411306043	99.0253411306043	98.4405458089669	91.2280701754386	93.5672514619883	92.7875243664717	93.3723196881092	92.0077972709552	97.6608187134503	98.635477582846	98.8304093567251	90.2534113060429	90.2534113060429	97.0760233918129	90.0584795321637	90.2534113060429	92.5925925925926	90.0584795321637	90.0584795321637	97.0760233918129	90.0584795321637	90.0584795321637	90.0584795321637	90.2534113060429	90.2534113060429	90.2534113060429	90.0584795321637	90.2534113060429	98.2456140350877	98.635477582846	98.635477582846	90.448343079922	92.0077972709552	93.5672514619883	94.3469785575049	92.3976608187135	90.0584795321637
"Mesorhizobium_intechi_BD68__C1D09_RS09185__NZ_PNOT02000101__153719"	92.7875243664717	93.7621832358674	90.2534113060429	91.0331384015595	92.2027290448343	93.17738791423	91.812865497076	90.0584795321637	90.2534113060429	91.0331384015595	90.8382066276803	91.0331384015595	98.635477582846	92.5925925925926	98.4405458089669	93.3723196881092	92.9824561403509	100	100	98.0506822612086	98.8304093567251	98.0506822612086	92.7875243664717	93.5672514619883	98.0506822612086	98.4405458089669	98.8304093567251	98.0506822612086	99.0253411306043	91.0331384015595	90.0584795321637	98.2456140350877	91.0331384015595	91.6179337231969	93.17738791423	93.5672514619883	98.2456140350877	93.3723196881092	92.5925925925926	97.8557504873294	97.6608187134503	97.6608187134503	99.0253411306043	99.0253411306043	98.4405458089669	91.2280701754386	93.5672514619883	92.7875243664717	93.3723196881092	92.0077972709552	97.6608187134503	98.635477582846	98.8304093567251	90.2534113060429	90.2534113060429	97.0760233918129	90.0584795321637	90.2534113060429	92.5925925925926	90.0584795321637	90.0584795321637	97.0760233918129	90.0584795321637	90.0584795321637	90.0584795321637	90.2534113060429	90.2534113060429	90.2534113060429	90.0584795321637	90.2534113060429	98.2456140350877	98.635477582846	98.635477582846	90.448343079922	92.0077972709552	93.5672514619883	94.3469785575049	92.3976608187135	90.0584795321637
"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS24205__NC_002678__158814"	92.3976608187135	93.3723196881092	90.0584795321637	91.2280701754386	92.2027290448343	92.5925925925926	91.2280701754386	89.8635477582846	90.0584795321637	91.2280701754386	90.8382066276803	91.0331384015595	98.8304093567251	92.5925925925926	98.0506822612086	92.7875243664717	92.3976608187135	98.0506822612086	98.0506822612086	100	98.4405458089669	98.2456140350877	92.2027290448343	92.9824561403509	98.2456140350877	98.635477582846	98.4405458089669	98.2456140350877	98.635477582846	91.0331384015595	89.8635477582846	98.635477582846	91.2280701754386	91.6179337231969	92.5925925925926	92.7875243664717	98.2456140350877	92.9824561403509	91.812865497076	99.4152046783626	99.2202729044834	99.2202729044834	99.0253411306043	99.0253411306043	98.8304093567251	91.2280701754386	92.9824561403509	92.2027290448343	92.7875243664717	92.0077972709552	99.2202729044834	98.635477582846	98.4405458089669	90.0584795321637	90.0584795321637	96.6861598440546	89.8635477582846	90.0584795321637	92.3976608187135	89.8635477582846	89.8635477582846	96.6861598440546	89.8635477582846	89.8635477582846	89.8635477582846	90.0584795321637	90.0584795321637	90.0584795321637	89.8635477582846	90.0584795321637	98.2456140350877	97.8557504873294	98.4405458089669	90.0584795321637	92.0077972709552	93.17738791423	93.9571150097466	91.812865497076	89.8635477582846
"Mesorhizobium_japonicum_R7A__R7A2020_RS30325__NZ_CP051772__167291"	92.9824561403509	94.3469785575049	90.6432748538012	91.2280701754386	92.7875243664717	93.5672514619883	92.2027290448343	90.448343079922	90.6432748538012	91.2280701754386	91.4230019493177	91.6179337231969	99.0253411306043	92.7875243664717	98.8304093567251	93.7621832358674	93.3723196881092	98.8304093567251	98.8304093567251	98.4405458089669	100	98.4405458089669	93.17738791423	93.9571150097466	98.4405458089669	98.8304093567251	100	98.4405458089669	99.8050682261209	91.6179337231969	90.448343079922	98.635477582846	91.2280701754386	92.2027290448343	93.5672514619883	93.7621832358674	98.635477582846	93.7621832358674	92.7875243664717	98.2456140350877	97.6608187134503	97.6608187134503	99.4152046783626	99.4152046783626	98.8304093567251	91.812865497076	93.9571150097466	93.17738791423	93.7621832358674	92.5925925925926	98.0506822612086	99.4152046783626	99.6101364522417	90.6432748538012	90.6432748538012	97.4658869395711	90.448343079922	90.6432748538012	92.9824561403509	90.448343079922	90.448343079922	97.4658869395711	90.448343079922	90.448343079922	90.448343079922	90.6432748538012	90.6432748538012	90.6432748538012	90.448343079922	90.6432748538012	98.635477582846	98.635477582846	99.0253411306043	90.6432748538012	92.5925925925926	94.1520467836257	94.9317738791423	92.7875243664717	90.448343079922
"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS32775__NZ_CP033507__173899"	92.2027290448343	93.5672514619883	89.8635477582846	90.6432748538012	92.0077972709552	92.5925925925926	91.4230019493177	89.8635477582846	89.8635477582846	90.6432748538012	90.8382066276803	90.8382066276803	99.4152046783626	92.3976608187135	98.0506822612086	92.7875243664717	92.3976608187135	98.0506822612086	98.0506822612086	98.2456140350877	98.4405458089669	100	92.2027290448343	92.9824561403509	100	99.2202729044834	98.4405458089669	100	98.635477582846	91.0331384015595	89.8635477582846	98.4405458089669	90.6432748538012	91.6179337231969	92.5925925925926	92.7875243664717	97.8557504873294	92.7875243664717	91.812865497076	97.8557504873294	97.4658869395711	97.4658869395711	98.635477582846	98.635477582846	98.4405458089669	91.2280701754386	92.9824561403509	92.2027290448343	92.7875243664717	91.812865497076	97.6608187134503	98.2456140350877	98.4405458089669	89.8635477582846	89.8635477582846	96.6861598440546	89.6686159844054	89.8635477582846	92.2027290448343	89.6686159844054	89.6686159844054	96.6861598440546	89.6686159844054	89.6686159844054	89.8635477582846	89.8635477582846	89.8635477582846	89.8635477582846	89.6686159844054	89.8635477582846	97.8557504873294	97.8557504873294	98.635477582846	90.0584795321637	91.812865497076	93.17738791423	93.9571150097466	91.812865497076	89.8635477582846
"Mesorhizobium_kowhaii_Ach-343__B5V02_RS21150__NZ_MZXV01000045__179961"	91.812865497076	94.541910331384	92.5925925925926	93.5672514619883	91.2280701754386	96.8810916179337	93.9571150097466	93.17738791423	93.17738791423	93.5672514619883	93.7621832358674	94.541910331384	92.3976608187135	93.17738791423	92.5925925925926	96.2962962962963	98.0506822612086	92.7875243664717	92.7875243664717	92.2027290448343	93.17738791423	92.2027290448343	100	95.5165692007797	92.2027290448343	92.3976608187135	93.17738791423	92.2027290448343	93.17738791423	94.541910331384	93.17738791423	92.5925925925926	93.5672514619883	95.1267056530214	98.2456140350877	95.7115009746589	92.3976608187135	95.906432748538	94.9317738791423	92.3976608187135	91.812865497076	91.812865497076	92.7875243664717	92.7875243664717	92.7875243664717	94.9317738791423	96.1013645224172	94.541910331384	96.2962962962963	93.3723196881092	92.2027290448343	92.9824561403509	92.9824561403509	93.17738791423	93.17738791423	92.7875243664717	92.9824561403509	93.17738791423	91.4230019493177	92.9824561403509	92.9824561403509	92.7875243664717	92.9824561403509	92.9824561403509	93.17738791423	93.17738791423	93.17738791423	93.17738791423	92.9824561403509	93.17738791423	92.5925925925926	92.5925925925926	92.7875243664717	93.17738791423	94.9317738791423	96.8810916179337	96.4912280701754	94.7368421052632	93.17738791423
"Mesorhizobium_loti_582__HB777_RS39500__NZ_CP050295__188868"	93.17738791423	95.7115009746589	91.4230019493177	93.17738791423	92.2027290448343	95.3216374269006	94.7368421052632	92.9824561403509	92.9824561403509	93.17738791423	92.9824561403509	93.5672514619883	93.17738791423	93.17738791423	92.9824561403509	98.4405458089669	95.3216374269006	93.5672514619883	93.5672514619883	92.9824561403509	93.9571150097466	92.9824561403509	95.5165692007797	100	92.9824561403509	92.9824561403509	93.9571150097466	92.9824561403509	93.9571150097466	93.5672514619883	92.9824561403509	93.5672514619883	93.17738791423	94.1520467836257	95.5165692007797	98.0506822612086	93.5672514619883	96.6861598440546	94.7368421052632	92.7875243664717	92.3976608187135	92.3976608187135	93.5672514619883	93.5672514619883	93.5672514619883	93.9571150097466	98.2456140350877	98.635477582846	97.8557504873294	92.9824561403509	92.5925925925926	93.7621832358674	93.7621832358674	92.9824561403509	92.9824561403509	93.9571150097466	92.7875243664717	92.9824561403509	92.2027290448343	92.7875243664717	92.7875243664717	93.9571150097466	92.7875243664717	92.7875243664717	92.9824561403509	92.9824561403509	92.9824561403509	92.9824561403509	92.7875243664717	92.9824561403509	93.17738791423	93.17738791423	93.5672514619883	92.7875243664717	94.7368421052632	96.1013645224172	97.0760233918129	94.7368421052632	92.9824561403509
"Mesorhizobium_loti_NZP2037__A9174_RS32455__NZ_CP016079__201649"	92.2027290448343	93.5672514619883	89.8635477582846	90.6432748538012	92.0077972709552	92.5925925925926	91.4230019493177	89.8635477582846	89.8635477582846	90.6432748538012	90.8382066276803	90.8382066276803	99.4152046783626	92.3976608187135	98.0506822612086	92.7875243664717	92.3976608187135	98.0506822612086	98.0506822612086	98.2456140350877	98.4405458089669	100	92.2027290448343	92.9824561403509	100	99.2202729044834	98.4405458089669	100	98.635477582846	91.0331384015595	89.8635477582846	98.4405458089669	90.6432748538012	91.6179337231969	92.5925925925926	92.7875243664717	97.8557504873294	92.7875243664717	91.812865497076	97.8557504873294	97.4658869395711	97.4658869395711	98.635477582846	98.635477582846	98.4405458089669	91.2280701754386	92.9824561403509	92.2027290448343	92.7875243664717	91.812865497076	97.6608187134503	98.2456140350877	98.4405458089669	89.8635477582846	89.8635477582846	96.6861598440546	89.6686159844054	89.8635477582846	92.2027290448343	89.6686159844054	89.6686159844054	96.6861598440546	89.6686159844054	89.6686159844054	89.8635477582846	89.8635477582846	89.8635477582846	89.8635477582846	89.6686159844054	89.8635477582846	97.8557504873294	97.8557504873294	98.635477582846	90.0584795321637	91.812865497076	93.17738791423	93.9571150097466	91.812865497076	89.8635477582846
